id,label,review
test_000044,0,"""đã nhận đủ hàng nhanh chóng chưa ăn thử  cho shop 5 sao nếu ok sẽ ủng hộ tiếp nha "" "
test_000045,0,"""Shop gần nhà hay s mà giao hàng siêu tốc luôn , sẽ ủng hộ nhiều lần nữa "" "
test_000046,0,"""Shop đóng gói kĩ , thời gian giao hàng cũng khá nhanh   Chất lượng chân vịt ok vì trước đây đã từng ăn   Món này món ăn vặt hơi bị ghiền :)))   Sẽ quay lại ủng hộ shop "" "
test_000047,0,"""Hàng chất lượng,giao hàng nhanh,ngon ,đóng gói cẩn thận sẽ ủng họp nữa cho 5 sao "" "
test_000048,0,"""Giao hàng nhanh chân vịt ngon giao đủ hàng , sẽ ủng hộ shop      "" "
test_000049,0,"""Chân gà ngon dòn xốp, rẽ   Đóng gói cẩn thận, giao hàng nhanh, tư vấn nhiệt tình  Lần sau sẻ ũng hộ shop "" "
test_000050,0,"""Giao đầy đủ nhưng mà shop đưa hàng cho đơn vận chuyển lâu mua ăn thử r ngon nên mua tiếp "" "
test_000051,1,"""Râu mực cay ăn ko ngon,nhạt hơi hắc nói chung là ko nên mua Còn chân gà ăn cũng bình thường ko giống hình cho lắm Nhưng hàng giao nhanh  "" "
test_000052,0,"""shop giao hàng nhanh, đầy đủ, ngon lắm nha, mọi ng nên mua nhé  "" "
test_000053,0,"""Giao hàng nhanh chưa ăn nên chưa biết ăn xong quay lại đánh giá sau "" "
test_000054,0,"""Giao hàng nhanh, đóng gói cẩn thận, ngon  Nói chung là hài lòng 😗 "" "
test_000055,0,"""Shop giao hàng đủ và có bù cho mình mấy món hết hàng, ăn vặt ổn nha mn :3 😳👌👌👌 "" "
test_000056,0,"""Shop giao hàng nhanh, đóng gói tốt  Đùi và chân vịt đều hợp khẩu vị mình  "" "
test_000057,0,"""Ngon, giao hàng nhanh , shipper nhiệt tình   Lần sau sẽ mua tiếp   "" "
test_000058,1,"""trên fb bán tận 10k 1 cái mà trên đây bán rẻ thì phải tậu về ăn liền thoiiii "" "
test_000059,0,"""Chân gà ngon xkjabakd kskbshskanjabsbndmdnbsnmsmsmnsnsbsb "" "
test_000060,0,"""Xl j hinh anh kg lien quan nhug chan ga an rat ngon luc giao nhan hang rat lau  ma đo an ngon la ok ok ok ok ok o k "" "
test_000061,0,"""Đồ ăn ngon, cay đến rất cay nha, thổi ra lửa luôn, giao hàng lâu lâu mùa dịch mà ko sao, dịch mà, sẽ ủng hộ tiếp "" "
test_000062,0,"""Hình ảnh chi mang tính chất nhận xu, nhưng đồ ăn ngon lắm nha hơi cay the nhẹ, nhưng ăn vào vẫn tuyệt vời "" "
test_000063,0,"""Hàng date mới siêu ngonnnnn kb chất lượng ntn nên k dám đặt nhieu  Sẽ ủng hộ tiếp nè !& &&//&/'snasnsnjabajaja "" "
test_000064,0,"""Mua lần 2 cho em trai, nó rất là khoái trí món ăn vặt này, ăn ngon , OK la, lần sau sẽ ủng hộ shop nhiều, tl khách hàng cũng nhanh, rồi vận chuyển cũng siêu nhanh luôn "" "
test_000065,0,"""Ăn qua mấy món này nhiều lần lắm rồi mà sao ăn nữa lại thấy rất ngon ăn vô nghiện luôn "" "
test_000066,1,"""Dịch nên đợi cả tháng mới nhận đc hàng, shop giao thiếu bánh và đã hoàn tiền cho mình  Chân vịt ngon nên mua nè "" "
test_000067,1,"""Bánh bể hết trơn lun ạ :(( nhma khs iem vẫn cho shop 5 sao  Có đặt đùi gà mà cũm kh có huhuhu 😭😭😭😭😭 "" "
test_000068,0,"""Chân gà rất ngon, đóng gói chắc chắn và giao hàng rất nhanh sản phẩm khá giống hình "" "
test_000069,1,"""Đặt 9/8 nay 16/9 mới nhận được, có món thiếu hàng shop bỏ tiền vào gói hàng luôn 👏🏼 "" "
test_000070,0,"""Nói chung chuẩn bị ăn, nhìn thấy là hấp dẫn rồi, giao hàng mùa dịch vậy, mình thấy cũng nhanh đó, cảm ơn shop đã cho giao nhanh  Mình ăn xong sẽ review cho shop "" "
test_000071,0,"""Ok nhé dịch mà mình thèm dã man mua toàn của shop này nên yên tâm lắm giao nhanh cực do mình đặt hoả tốc  đã thèm ghê "" "
test_000072,0,"""Mua sp ăn thử thấy vị ngon nhưng hơi mặn nhưng sắp tới sẽ mua lại "" "
test_000073,1,"""As a result of this, all professionals in the aviation industry have a huge responsibility to improve their level of communication and understanding to minimize the risks of catastrophic aviation accidents that could be prevented with adequate communication  "" "
test_000074,0,"""Giao hàng nhanh chất lượng ok hdhdjjdjshshndhdjhdhdhbdhdhdbdbđh "" "
test_000075,1,"""Ngày nay 𝐧𝐚𝐢𝐥𝐛𝐨𝐱 được xem như là một món phụ kiện không thể thiếu của các nàng bởi độ đẹp và sự linh động của 𝐧𝐚𝐢𝐥𝐛𝐨𝐱 giúp nàng dễ dàng diện #outfit mỗi khi ra đường và cũng tiện lợi khi nàng tự dán, tự tháo, tái sử dụng được nhiều lần  Hình thức để nhận xu sp rất tốt "" "
test_000076,0,"""Hàng giao nhanh, có tặng quà nữa nhìn sợ sợ  Khui ra là mùi rất nồng, nên ăn chô thoáng chứ k sẽ bị ám mùi  Nói chung oke ăn thử chứ không có khuyến khích ăn "" "
test_000077,0,"""Mua hai lần r í lần nào cũng ghiền nói chung là shop dth có tặng quà nữa nên em chịu lần s mua tiếp nha  "" "
test_000078,0,"""Đã nhận được hàng Chân vịt ngon  Kẹo ngon  Xí muội thì vị ko giống như tuổi thơ   Sẽ ủng hộ chân vịt nữa "" "
test_000079,0,"""Cổ vịt ngon nha mn ơi  Không có mua loại khác mà loại này ngon  Mùi hơi ngộ xíu  "" "
test_000080,0,"""y như hình,giá tiền ổn,giao hơi lâu nhưng không bị hư hại gì ăn cx rất ngon❤️ "" "
test_000081,0,"""Giao hàng hơn 1 tuần, do dịch, giao đủ, sp hết shop bù cái khác cho mình  Ok nên thử ạ❤️ "" "
test_000082,0,"""video mình nhận xuuu còn sp rất oke có cái shop quên mình lưu ý nên họ hàng mình lấy dùm còn về sản phẩm mình vẫn chưa dùng "" "
test_000083,1,"""FzdkgzdiyrziyisIYrzyrildzarulzryzryizr6ztRyz6rztzutoztxtxfyz5r8z6rzr6x7td7td75xtztuoz7tos8st7s7rzutzkurzr6izstuljktxhzy "" "
test_000084,0,"""Thức ăn có vị khá lạ, ăn ngon nếu đã quen, giao hàng cẩn thận nhanh "" "
test_000085,0,"""Giao hàng nhanh Chất lượng sản phẩm của shop ok Đóng gõi kĩ nè  "" "
test_000086,0,"""Thấy mấy tiktoker ăn nhìn ngon quá cũng mua 10 cái ăn thử, mà ăn mới 2 cái đã ngán rồi 🤣🤣🤣 thấy có người bày chấm vs muối ớt chanh, chiều về ăn thử xem có khá hơn ko  À, thấy để chân vịt cay nhưng mình ăn ko nghe cay xíu nào, hơi thất vọng  "" "
test_000087,0,"""Xúc xích ăn giòn giòn vị cay nhẹ, sản phẩm được hút chân không nên an tâm chất lượng "" "
test_000088,1,"""Hàng shop chuẩn bị đầy đủ k thiếu, dịch nên đặt hoả tốc giao lâu "" "
test_000089,0,"""Mình chọn xúc xích sụn gà cay nhưng chưa ăn thử, gói nhỏ nhỏ mong là ngon "" "
test_000090,0,"""Xúc xích xụn ăn không ngon má kết hợp ăn với cơm hay cháo cũng thích hợp 😍😍 "" "
test_000091,0,"""Hé hé shop dễ thương cực , giao hàng đủ đã thế còn được tặng thêm 1 gói mực nữa cơ chân vịt ngon cực luôn mua về chưa đc 1 ngày hết mất tiêu giao hàng nhanh nma gặp phải ông shipper mới vào làm hay gì lần đầu gặp luôn mà thái độ như     Mệt thật sự nma thôi do shop dễ thương mong shop chú ý 🥰 "" "
test_000092,0,"""Ăn tạm được, hơi lạ, nói chung ăn thử thui  Shop tư vấn dth, giao hành nhanh ship cái 1 tiếng sau có liền  Nchung sẽ quay lại ủng hộ shop hehe hêhhehehehe "" "
test_000093,0,"""Canh vịt thịt dai, sản phẩm được hút chân không nên an tâm chất lượng lắm 👍👍 "" "
test_000094,0,"""Ngon lành cành đào :))) Do dịch nên giao hàng hơi lâuuuu🙈🙈🙈🙈🙈 "" "
test_000095,0,"""Hàng đẹp, chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm tốt lắm nhabhh "" "
test_000096,0,"""shop giao hàng nhanh  giao đủ số lượng mà còn đc tặng quà nữa  nói chung là Ưng nha😋 "" "
test_000097,1,"""Zbdbdncb dnsjsbdjdndjnfjcndjdnsjsnhfbfbx sjfbejebehnajbdhsbxjnsjdneje cjndjdndnendjdndjjdnsnsnwidjxhnxbbdebbdncn "" "
test_000098,1,"""Haizzz giao hàng trong thành phố cũng lâu đặt 17 tận 20 nhận hết hứng ăn nên hủy đơn rồi shop vẫn không sợ bị hoàn vẫn giao  Nói chung thấy review ngon nên mua ăn thử, ăn rồi thấy không ngon như lời đồn  Chân vịt còn có lớp mỡ đông như rau câu ăn lành lạnh miệng  Thử 1 lần cho biết chứ      "" "
test_000099,0,"""Chân vịt ít cay, ngon dễ sử dụng                                ,,, Bún ốc liễu châu chưa ăn nên chưa biết, mẫu mã đẹp                                                                          …………………………… Lần sau sẽ mua thử món khác                               ,    ,,,                               "" "
test_000100,0,"""Mua lần thứ n, giao hàng nhanh gọn lẹ, lúc nào cũng dc tặng quà, hihi, cskh tốt nữa ạ "" "
test_000101,0,"""Sản phẩm tốt  Phù hợp với giá tiền Đóng gói bao bì ổn Đáng mua Giao hàng tận nơi dù mùa dịch "" "
test_000102,1,"""Mua lần thứ n, nhưng hnay bị 1 cái hư, cái thạch trong chân nó rã lun í, mùi hôi n, huhu "" "
test_000103,0,"""Giao hàng nhanh  Hết xx hồ lô, shop tự thay bằng thanh cua với râu mực nhưng khá ngon  Đùi gà-vịt đều ăn bở bột, không cay cơ mà đùi vịt ngon hơn gà  Cánh vịt với chân vịt ăn không có vị gì, y như ăn  nước thịt đông vậy  Cổ vịt khá ngon, vịt thịt đậm, ăn cay ngon  "" "
test_000104,0,"""Vị ngọt ngọt, ngon, shop giao hàng nhanh, đóng gói cẩn thận  Giá tốt "" "
test_000105,0,"""Hình ảnh k liên quan!chân gà ngon kẹo dẻo cũng thơm ngon shop bán hàng ok "" "
test_000106,1,"""Thấy hot quá mua ít ăn thử   Ăn cũng được   Nhưng mà thấy bình thường thôi à   Kiểu mùi nhu bánh snack , chân gà ướp cay thoi chứ ko có gi đặt biệt het "" "
test_000107,0,"""đối với mình chân gà với chân vịt ăn ok lắm nha :3 hợp khẩu vị tuỳ người nè   chân gà vs chân vịt hình như được ướp nước tương hay sao á , em mình ăn nghe có vị giống xúc xích ?? =))))) nói chung mua về ăn cho biết thì ok nha   mình đặt nowship nên ship siêu nhanh luôn 🤣❤️❤️ "" "
test_000108,0,"""Em mà đã giới thiệu thì các mẹ yên tâm em bé 5-7 tuổi còn làm được thì các mẹ xá gì COMBO #Đế_tart_trứng + #Kem_trứng sẵn luôn, giá #169k 🥯🥯🥯Đế tart 30c/túi ngoài làm bánh tart trứng thì các mẹ có thể bỏ nhân nấm, thịt, xúc xích    tùy ý, phủ phomai lên trên để thành món bánh ăn sáng 10ph "" "
test_000109,1,"""Bình luận chỉ mang tính chất lấy xu thôi                    "" "
test_000110,1,"""hdjjdndnd djjdjs s síijs shisosn snsjdjdb dĩosi s sijd d xbxjjxjxx  xĩizb x z zjzjbs z jzkzizjz  zjzizb snzizb z zịzbs zbbzjz "" "
test_000111,0,"""Hình ảnh k liên quan lắmm nhưng đồ ăn ngon lắmmm ạ  Đồ ăn có mùi thuốc bắc khá nồng và cayy "" "
test_000112,0,"""Đặt 5 chân gà, 5 chân vịt, 5 râu mực, 5 cánh vịt mà giao thiếu 5 cánh vịt    Shop nhắn tin đã bù card lại cho mình nhé phục vụ rất dễ thương thanks 😍 "" "
test_000113,0,"""Gia re giao hanh nhanh noi chung okkkkkkkkkkkkkkkkkkkkkkkk "" "
test_000114,0,"""Sản phẩm ok, giao hàng nhanh ghê nha  Lần sau sẽ mua tiếp nha     "" "
test_000115,0,"""Shop giao nhanh, nhiệt tình với khách sẽ mua ủng hộ shop nữa, nhưng k mua chân vịt dở quá mà s cháy hàng kinh khủng😩 "" "
test_000116,0,"""Chân gà ngon ăn cuống lắm nha, mình sẽ ủng hộ shop lần sau nè…   "" "
test_000117,1,"""Hình ảnh và video mang tính chất nhận xuuu  Nhưng mà sản phẩm chất lượng nhé "" "
test_000118,0,"""Shop nhiệt tình chu đáo còn tặng quà shop lấy nhầm vị mì nhưng ko sao hết  Sẽ quay lại ủng hộ  "" "
test_000119,0,"""Ngon nhé ăn bao lần rồi vẫn đặt chổ này  gần bên chổ làm đặt rất nhanh "" "
test_000120,0,"""Giao hàng siêu nhanh lun á, ăn cũng oke la lắm, mua còn được tặng kẹo nữa hịihi "" "
test_000121,0,"""Chân vịt ngon lắm nha Hình ảnh mang tính chất nhận xu❤️❤️❤️❤️❤️ "" "
test_000122,0,"""Đám bạn kêu đang hot nên đặt về ăn chung thử, nhìn thôi mà tưởng đâu là thạch jelly không ấy chứ  Nhưng mà ăn cho biết vậy chứ   😂  Vẫn cho shop 5 sao lấy tinh thần vậy👍 "" "
test_000123,0,"""Giao hàng đầy đủ, còn kèm 1 bịch quà tặng  shop dễ thương 😂 mà chưa biết công dụng "" "
test_000124,0,"""Gói dongdong mình ăn rồi nên không chụp được  Chủ shop nch dễ thương  Sẽ ủng hộ tiếp♥️♥️♥️còn đc tặng thêm quà "" "
test_000125,0,"""Chân vịt hơi khó ăn chắc do ko hợp khẩu vị mình, cổ ăn khá ngon nhưng hơi cay, chân vịt thì ko cay lắm "" "
test_000126,1,"""Xkxkhxmkhxkcxkyxxbcudyj  Iyxgjxyxmxkh jgdy tzjaotzjgxtu "" "
test_000127,0,"""shop giao hàng rất nhanh hqua mới đặt nay đã có rồi  Chân gà vs cánh gà hết hạn bị chua mực cũng hết hạn bị thiu mình đánh giá tốt r nhưng ăn bị chua ktra thì thấy hết hạn bực quá lên sửa đánh giá lại ạ huhu đang ăn ngon lại v "" "
test_000128,1,"""Hình ảnh và clip chỉ mang tính chất nhận 200 xu Thêm 13 kí tự cho đủ "" "
test_000129,1,"""Ueujsjsjsjsjshhshhsjshsjjsjsjjsjsjjsjsbbsbshshdhhdbdbdbndndbdbdnbdnxjxjsjsjjdjdjsjdjsjjsjdjsjsjdjdjjdjsjsjsjshhshshhsjshsbsbsbbsbsbdbbdndbdbdbdbdbdbd "" "
test_000130,0,"""Giao hanh nhanh, shop nhiet tinh, gia ca phai chang, se ủng ho nửa, còn tăng them quà "" "
test_000131,0,"""Theo mình thấy thì chân vịt rất ngon nha  Còn cổ cũng ngon nhưng hơi nồng hơn  Mình có mua cánh nhưng mà tiếc là hết hàng  Sẽ tiếp tục ủng hộ shop  "" "
test_000132,0,"""Chan đùi giao đay đủ nhe shop   an nhieu lan nhug mua shop lan đâu ok giao hAng nhanh  đang an 2 cai quay 2 cái 0llllllla "" "
test_000133,0,"""Giao hàng nhanh nè, đóng gói kỹ  Chất lượng thì ăn xong mới biết đc  Ăn Thử cho biết thôi chứ kg dám ăn nhiều hihihi "" "
test_000134,0,"""Ngonnnnnnnnnnnnnnn lắm mọi người ạ, nên thử nhé, shop giao hàng hơi lâu thui "" "
test_000135,1,"""Mua nhiều lần rồi nên khỏi review :))))))))))))))))))))))))1234567890-/:;()₫&@“ ,?!’ádffhjkllpqwrrytititoyogogjfbdbsvxvc ncjvofprlbebegdbvvfjfigngjoejejvdvfjwjwhufigog  "" "
test_000136,0,"""Dccccccccccccccccccccccccccccccccccccccccccccccccccc "" "
test_000137,0,"""Shop phục vụ rất dễ thương giao hàng rất nhanh , đầy đủ , ăn rất ngon , mà bùn ghia thấy ai bình luận cũng bảo shop có tặng quà mà tới lượt mình hỏng có ,nói chung là shop ok , sẽ ủng hộ típ "" "
test_000138,0,"""Đã nhận đủ so luong chua ăn chua biet chat lương như nào   Cam on shop "" "
test_000139,0,"""xúc xích ăn có vị cay của sa tế ăn cũng ngon nhưng có 2 cục bé tí :(( "" "
test_000140,0,"""Ngon lắm nha Mn  Bỏ vào ngăn mát ăn sẽ ngon hơn nha  Duyệt dễ ăn                                                                                                                                                     "" "
test_000141,0,"""Chân gà ngon, hợp khẩu vị Giao hàng nhanh, mới đặt trưa hôm qua hnay đã nhận đx hàng "" "
test_000142,0,"""Hàng y hình nhưng thiếu hay hết hàng gì đó shop bù tiền nói chung là ok "" "
test_000143,0,"""Đã nhận hàng  Mình mua lắt nhắt mà shop giao đủ hết, còn km tặng kèm 1 gói thịt cay chay nữa  Thanks shop "" "
test_000144,0,"""Ăn rất ngon lun  , chủ shop tư vấn rất nhiệt tình  , giao hàng nhanh mà còn tặng thêm quà thích hết chỗ nói 🥰 "" "
test_000145,0,"""Giao hàng nhanh, đã dùng qua trước đây  Thấy shop bán giá rẻ nên dùng thử, hy vọng có trải nghiệm ấn tượng   "" "
test_000146,0,"""Xúc xích khá ngon , vị hơi lạ , khi nhai giòn giòn , shop gói hàng nhanh "" "
test_000147,1,"""Lần đầu tiên mua có 2 cái thôi còn giờ mua lần gàn chục cái mà k dám ăn nhìu đâu "" "
test_000148,0,"""ngon cực , đc tặng thêm quà , shop bao dễ thương                   "" "
test_000149,1,"""Fyffhcjvndgsgsgxggmchchfkfkydykdmhfhfjvvjvufysysysuidjchfufududjfifjg "" "
test_000150,0,"""Ăn ngon nhưng hơi cay  Mắc  Mấy đứa nhỏ khoái ăn quá nhưng ko đủ dj mua cho ăn thả ga   "" "
test_000151,0,"""Ảnh không liên quan nhưng giao hàng ok, đóng gói kỷ,đủ số lượng  Sẽ mua tiếp      "" "
test_000152,1,"""Giao đủ hàng, giao nhanh mới một ngày là nhận được hàng rồi, sale nên mua ăn thử đi "" "
test_000153,0,"""Chân vịt ngon, giá cũng rẻ so với mặt bằng chung, hình ảnh mang tính chất nhận xu "" "
test_000154,1,"""Hdidjdbfkfmfmmnnnnmmmmmmm Bxjdjdndcnododkndnfbdjdkdbdbdbg "" "
test_000155,1,"""Đặt 1 cánh vịt mà ko có, thay vào chân vịt mà shop ko báo, chuẩn bị hàng chậm, vị oke  "" "
test_000156,0,"""Chất lượng sản phẩm tuyệt vời đóng gói rất đẹp và chắc chắn sẽ ủng hộ shop "" "
test_000157,0,"""Chất lượng sản phẩm tuyệt vời đóng gói rất đẹp và chắc chắn sẽ ủng hộ shop "" "
test_000158,1,"""Ăn được mỗi đùi vịt với chân vịt cổ vịt còn lại bở bở dở kinh, dở nhất là cá  "" "
test_000159,0,"""ngon lắm mọi người, không quá cay lắm, lần sau sẽ ủng hộ nữa ❤❤❤ "" "
test_000160,0,"""Chân vịt ít cay, dễ ăn  Mình đã mua lại lần thứ 3 rồi  Shop giao hàng tương đối nhanh  Ai hay ăn vặt thì có thể mua tích ăn dần 😆😆😆😆😆😆😆😆            ,,,,,,,,,,,,,,,,,,,,,,,,,,,, "" "
test_000161,0,"""Giao hàng đủ ạ, bịch nào bịch nấy nhỏ nhỏ xinh xinh nhìn cưng xĩu ạ "" "
test_000162,1,"""ngon, ko cay an nhieu nghiện nó à mà nó nóng an noi mun nhen do gia vi nhieu "" "
test_000163,0,"""chân vịt ăn không hợp khẩu vị với mình nên không thấy ngonnn  "" "
test_000164,0,"""Nhận đủ hàng, chân vịt ngon được tặng thêm gói ớt hay gì đó babsjsnd "" "
test_000165,0,"""Chất lượng ẩn phẩm tuyệt vời so với giá tiền đóng gói kĩ  9/10 luôn "" "
test_000166,1,"""Đã nhận được hàng, mà thời gian giao hàng không được nhanh cho lắm "" "
test_000167,0,"""Nhanh ok ổn kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk "" "
test_000168,0,"""đã nhận được hàng đầy đủ, ăn cũng tạm được           "" "
test_000169,0,"""Shop gói hàng kĩ, giao hàng sớm hơn dự kiến, giao đầy đủ số lượng tuiii đã đặtttt, đồ ăn thì khỏi bàn siuuuuu ngon luonnn ớ, shop nhắn tin cũng siu cấp dễ thưnn "" "
test_000170,1,"""đã nhận hình ảnh không liên quan    ahihi                  "" "
test_000171,0,"""Giao hàng nhanh, ngon xỉu up xỉu dow luôn, giá cả hợp lí, hrhdhejsjksjdndhjdgsuwbw  "" "
test_000172,0,"""Ngon ăn khôg bị hắc hay nồng mùi quế hay hồi hay ngủ vị hương j cả cay vừa nên khá okieeee "" "
test_000173,1,"""Đa số đều cay, có chân gà vàng là không cay thôi, sẽ mua lại chân gà, mấy kia cay quá ăn không nổi  "" "
test_000174,0,"""Hàng OK !! Ăn vặt rất ngon Giao hàng nhanh!!!!!!!!!!!!!!!!!!!!!! "" "
test_000175,1,"""Chân vịt ăn hơi tanh kkshsbabakkdksjsjsjsjsjsjsjjssjjssjjs "" "
test_000176,0,"""Chân gà siêu siêu ngon, ăn rất đã miệng, sẽ tiếp tục ủng hộ shopp "" "
test_000177,0,"""Sản phẩm tốt chất lượng giao hàng rất nhanh lun mới đặt bữa trc bữa sau có rồi chưa ăn chưa bik "" "
test_000178,1,"""Giao đủ ăn cũng đc nha ăn chơi cho vui thoi chứ sợ bị                            "" "
test_000179,1,"""Đồ ngon, giao đủ hàng, shop có tặng 1 cục khác nhỏ nhỏ  Thùng giao về móp hết cả, mình cũng lo do có mì gói ở trong nhưng may là không vỡ gì  "" "
test_000180,0,"""Mình mua lần 2 rồi mng ạ  Siêu siêu ngon luôn ý nma độc hay khong thì mình khong biet❤️ "" "
test_000181,1,"""Thật lòng là vị như chả bò chả lụa ấy xong nó hơi chua chua cay cay, cũng đc "" "
test_000182,0,"""Hình ảnh chỉ mang tính chất minh hoạ, đồ ăn ngon, giao hàng rất nhanh, sẽ ủng hộ tiếp lần sau "" "
test_000183,1,"""Giao sai yêu cầu   Trừ 1 sao đặt 2 trà đào 2 trà xanh   Giao trà xanh ko à 😶 "" "
test_000184,1,"""mình đặt chân vịt giao chân gà ko à huhu, nhưng ko sao, vẫn rất ngon nhe "" "
